Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Score
bett1HULKS Indoors,2020-10-14,ATP250,Indoor,Hard,2nd Round,3,Paire B.,Novak D.,Novak D.,26,94,3-6 4-6
Forte Village Sardegna Open,2020-10-15,ATP250,Outdoor,Clay,2nd Round,3,Cecchinato M.,Paul T.,Cecchinato M.,103,58,7-6 6-4
Forte Village Sardegna Open,2020-10-15,ATP250,Outdoor,Clay,2nd Round,3,Hanfmann Y.,Ruud C.,Hanfmann Y.,101,25,6-2 6-1
Forte Village Sardegna Open,2020-10-15,ATP250,Outdoor,Clay,2nd Round,3,Moutet C.,Ramos-Vinolas A.,Ramos-Vinolas A.,73,45,0-6 3-6
Forte Village Sardegna Open,2020-10-15,ATP250,Outdoor,Clay,2nd Round,3,Pellegrino A.,Musetti L.,Musetti L.,292,143,2-6 1-6
St. Petersburg Open,2020-10-15,ATP250,Indoor,Hard,2nd Round,3,Bublik A.,Raonic M.,Raonic M.,52,21,3-6 2-6
St. Petersburg Open,2020-10-15,ATP250,Indoor,Hard,2nd Round,3,Khachanov K.,Karatsev A.,Khachanov K.,17,117,4-6 7-5 6-3
St. Petersburg Open,2020-10-15,ATP250,Indoor,Hard,2nd Round,3,Medvedev D.,Opelka R.,Opelka R.,6,36,6-2 5-7 4-6
St. Petersburg Open,2020-10-15,ATP250,Indoor,Hard,2nd Round,3,Rublev A.,Humbert U.,Rublev A.,10,38,4-6 6-4 7-5
St. Petersburg Open,2020-10-15,ATP250,Indoor,Hard,2nd Round,3,Safiullin R.,Coric B.,Coric B.,199,27,3-6 5-7
St. Petersburg Open,2020-10-15,ATP250,Indoor,Hard,2nd Round,3,Shapovalov D.,Ivashka I.,Shapovalov D.,12,141,6-1 6-4
bett1HULKS Indoors,2020-10-15,ATP250,Indoor,Hard,2nd Round,3,Auger-Aliassime F.,Laaksonen H.,Auger-Aliassime F.,22,139,6-4 6-1
bett1HULKS Indoors,2020-10-15,ATP250,Indoor,Hard,2nd Round,3,Cilic M.,Davidovich Fokina A.,Davidovich Fokina A.,40,71,6-3 6-7 2-6
bett1HULKS Indoors,2020-10-15,ATP250,Indoor,Hard,2nd Round,3,Simon G.,Bautista Agut R.,Bautista Agut R.,57,13,4-6 6-7
bett1HULKS Indoors,2020-10-15,ATP250,Indoor,Hard,2nd Round,3,Zverev A.,Verdasco F.,Zverev A.,7,61,6-4 6-1
Forte Village Sardegna Open,2020-10-16,ATP250,Outdoor,Clay,Quarterfinals,3,Cecchinato M.,Ramos-Vinolas A.,Cecchinato M.,103,45,4-6 6-1 6-1
Forte Village Sardegna Open,2020-10-16,ATP250,Outdoor,Clay,Quarterfinals,3,Delbonis F.,Petrovic D.,Petrovic D.,78,166,6-7 1-6
Forte Village Sardegna Open,2020-10-16,ATP250,Outdoor,Clay,Quarterfinals,3,Djere L.,Vesely J.,Djere L.,74,67,6-4 6-4
Forte Village Sardegna Open,2020-10-16,ATP250,Outdoor,Clay,Quarterfinals,3,Hanfmann Y.,Musetti L.,Musetti L.,101,143,2-6 4-6
St. Petersburg Open,2020-10-16,ATP250,Indoor,Hard,Quarterfinals,3,Coric B.,Opelka R.,Coric B.,27,36,7-6 6-3
St. Petersburg Open,2020-10-16,ATP250,Indoor,Hard,Quarterfinals,3,Khachanov K.,Raonic M.,Raonic M.,17,21,1-6 6-7
St. Petersburg Open,2020-10-16,ATP250,Indoor,Hard,Quarterfinals,3,Rublev A.,Norrie C.,Rublev A.,10,75,6-2 6-1
St. Petersburg Open,2020-10-16,ATP250,Indoor,Hard,Quarterfinals,3,Wawrinka S.,Shapovalov D.,Shapovalov D.,18,12,4-6 5-7
bett1HULKS Indoors,2020-10-16,ATP250,Indoor,Hard,Quarterfinals,3,Auger-Aliassime F.,Albot R.,Auger-Aliassime F.,22,82,6-3 6-0
bett1HULKS Indoors,2020-10-16,ATP250,Indoor,Hard,Quarterfinals,3,Hurkacz H.,Bautista Agut R.,Bautista Agut R.,31,13,6-7 7-5 0-6
bett1HULKS Indoors,2020-10-16,ATP250,Indoor,Hard,Quarterfinals,3,Novak D.,Davidovich Fokina A.,Davidovich Fokina A.,94,71,3-6 6-2 3-6
bett1HULKS Indoors,2020-10-16,ATP250,Indoor,Hard,Quarterfinals,3,Zverev A.,Harris L.,Zverev A.,7,92,6-4 3-6 6-0
Forte Village Sardegna Open,2020-10-17,ATP250,Outdoor,Clay,Semifinals,3,Cecchinato M.,Petrovic D.,Cecchinato M.,103,166,6-1 6-0
St. Petersburg Open,2020-10-17,ATP250,Indoor,Hard,Semifinals,3,Raonic M.,Coric B.,Coric B.,21,27,6-1 1-6 4-6
St. Petersburg Open,2020-10-17,ATP250,Indoor,Hard,Semifinals,3,Rublev A.,Shapovalov D.,Rublev A.,10,12,4-6 6-3 6-4
bett1HULKS Indoors,2020-10-17,ATP250,Indoor,Hard,Semifinals,3,Bautista Agut R.,Auger-Aliassime F.,Auger-Aliassime F.,13,22,3-6 6-1 3-6
bett1HULKS Indoors,2020-10-17,ATP250,Indoor,Hard,Semifinals,3,Zverev A.,Davidovich Fokina A.,Zverev A.,7,71,7-5 7-6
Forte Village Sardegna Open,2020-10-18,ATP250,Outdoor,Clay,The Final,3,Cecchinato M.,Djere L.,Djere L.,103,74,6-7 5-7
St. Petersburg Open,2020-10-18,ATP250,Indoor,Hard,The Final,3,Rublev A.,Coric B.,Rublev A.,10,27,7-6 7-5
bett1HULKS Indoors,2020-10-18,ATP250,Indoor,Hard,The Final,3,Zverev A.,Auger-Aliassime F.,Zverev A.,7,22,6-3 6-3
European Open,2020-10-19,ATP250,Indoor,Hard,1st Round,3,Coppejans K.,Humbert U.,Humbert U.,172,38,4-6 3-6
European Open,2020-10-19,ATP250,Indoor,Hard,1st Round,3,Paul T.,Lopez F.,Lopez F.,59,62,3-6 2-6
European Open,2020-10-19,ATP250,Indoor,Hard,1st Round,3,Tiafoe F.,Lajovic D.,Tiafoe F.,63,25,6-3 7-6
bett1HULKS Championship,2020-10-19,ATP250,Indoor,Hard,1st Round,3,Edmund K.,Nishioka Y.,Nishioka Y.,47,56,4-6 0-6
bett1HULKS Championship,2020-10-19,ATP250,Indoor,Hard,1st Round,3,Gerasimov E.,Altmaier D.,Gerasimov E.,87,124,6-1 6-0
bett1HULKS Championship,2020-10-19,ATP250,Indoor,Hard,1st Round,3,Johnson S.,Cilic M.,Johnson S.,71,40,7-6 6-4
bett1HULKS Championship,2020-10-19,ATP250,Indoor,Hard,1st Round,3,Kecmanovic M.,Nagal S.,Kecmanovic M.,39,130,4-6 7-6 6-1
bett1HULKS Championship,2020-10-19,ATP250,Indoor,Hard,1st Round,3,Popyrin A.,Mannarino A.,Mannarino A.,109,41,2-6 2-6
bett1HULKS Championship,2020-10-19,ATP250,Indoor,Hard,1st Round,3,Thompson J.,Simon G.,Simon G.,60,58,3-6 5-7
European Open,2020-10-20,ATP250,Indoor,Hard,1st Round,3,Bergs Z.,Ramos-Vinolas A.,Bergs Z.,528,45,7-5 7-5
European Open,2020-10-20,ATP250,Indoor,Hard,1st Round,3,Coria F.,Andujar P.,Andujar P.,86,55,2-6 3-6
European Open,2020-10-20,ATP250,Indoor,Hard,1st Round,3,Evans D.,Caruso S.,Evans D.,35,79,6-2 3-6 6-3
European Open,2020-10-20,ATP250,Indoor,Hard,1st Round,3,Gasquet R.,De Minaur A.,De Minaur A.,54,29,6-3 6-7 3-6
European Open,2020-10-20,ATP250,Indoor,Hard,1st Round,3,Giron M.,Nardi L.,Giron M.,94,917,4-6 6-4 6-1
European Open,2020-10-20,ATP250,Indoor,Hard,1st Round,3,Harris L.,Moutet C.,Harris L.,90,74,7-5 6-2
European Open,2020-10-20,ATP250,Indoor,Hard,1st Round,3,Ruusuvuori E.,Norrie C.,Norrie C.,100,70,3-6 6-7
bett1HULKS Championship,2020-10-20,ATP250,Indoor,Hard,1st Round,3,Duckworth J.,Sinner J.,Sinner J.,97,46,1-6 2-6
bett1HULKS Championship,2020-10-20,ATP250,Indoor,Hard,1st Round,3,Dzumhur D.,Davidovich Fokina A.,Davidovich Fokina A.,114,64,2-6 3-6
bett1HULKS Championship,2020-10-20,ATP250,Indoor,Hard,1st Round,3,Herbert P.H.,Sandgren T.,Herbert P.H.,82,48,6-3 3-6 6-3
bett1HULKS Championship,2020-10-20,ATP250,Indoor,Hard,1st Round,3,Otte O.,Novak D.,Otte O.,141,91,6-3 6-2
bett1HULKS Championship,2020-10-20,ATP250,Indoor,Hard,1st Round,3,Verdasco F.,Millman J.,Millman J.,61,44,4-6 2-6
European Open,2020-10-21,ATP250,Indoor,Hard,1st Round,3,Bedene A.,Raonic M.,Raonic M.,52,19,3-6 6-7
European Open,2020-10-21,ATP250,Indoor,Hard,1st Round,3,Fritz T.,Opelka R.,Fritz T.,28,33,7-6 6-1
European Open,2020-10-21,ATP250,Indoor,Hard,2nd Round,3,Andujar P.,Dimitrov G.,Dimitrov G.,55,20,6-4 3-6 4-6
European Open,2020-10-21,ATP250,Indoor,Hard,2nd Round,3,Carreno Busta P.,Humbert U.,Humbert U.,15,38,7-5 3-6 4-6
European Open,2020-10-21,ATP250,Indoor,Hard,2nd Round,3,De Minaur A.,Lopez F.,De Minaur A.,29,62,6-4 6-2
European Open,2020-10-21,ATP250,Indoor,Hard,2nd Round,3,Evans D.,Tiafoe F.,Evans D.,35,63,7-6 6-2
bett1HULKS Championship,2020-10-21,ATP250,Indoor,Hard,1st Round,3,Struff J.L.,Cecchinato M.,Struff J.L.,32,77,6-3 6-1
bett1HULKS Championship,2020-10-21,ATP250,Indoor,Hard,2nd Round,3,Auger-Aliassime F.,Gerasimov E.,Auger-Aliassime F.,22,87,4-6 7-6 7-6
bett1HULKS Championship,2020-10-21,ATP250,Indoor,Hard,2nd Round,3,Davidovich Fokina A.,Johnson S.,Davidovich Fokina A.,64,71,7-6 6-3
bett1HULKS Championship,2020-10-21,ATP250,Indoor,Hard,2nd Round,3,Kecmanovic M.,Mannarino A.,Mannarino A.,39,41,3-6 3-6
bett1HULKS Championship,2020-10-21,ATP250,Indoor,Hard,2nd Round,3,Millman J.,Zverev A.,Zverev A.,44,7,0-6 6-3 3-6
European Open,2020-10-22,ATP250,Indoor,Hard,2nd Round,3,Bergs Z.,Khachanov K.,Khachanov K.,528,17,7-5 4-6 4-6
European Open,2020-10-22,ATP250,Indoor,Hard,2nd Round,3,Giron M.,Goffin D.,Giron M.,94,14,6-3 7-5
European Open,2020-10-22,ATP250,Indoor,Hard,2nd Round,3,Harris L.,Fritz T.,Harris L.,90,28,7-5 7-6
European Open,2020-10-22,ATP250,Indoor,Hard,2nd Round,3,Norrie C.,Raonic M.,Raonic M.,70,19,5-7 6-7
bett1HULKS Championship,2020-10-22,ATP250,Indoor,Hard,2nd Round,3,Herbert P.H.,Sinner J.,Sinner J.,82,46,3-6 1-6
bett1HULKS Championship,2020-10-22,ATP250,Indoor,Hard,2nd Round,3,Nishioka Y.,Struff J.L.,Nishioka Y.,56,32,2-6 6-3 7-6
bett1HULKS Championship,2020-10-22,ATP250,Indoor,Hard,2nd Round,3,Otte O.,Schwartzman D.,Schwartzman D.,141,9,3-6 2-6
bett1HULKS Championship,2020-10-22,ATP250,Indoor,Hard,2nd Round,3,Simon G.,Shapovalov D.,Simon G.,58,12,6-1 4-6 6-2
European Open,2020-10-23,ATP250,Indoor,Hard,Quarterfinals,3,Evans D.,Khachanov K.,Evans D.,35,17,3-6 7-6 6-4
European Open,2020-10-23,ATP250,Indoor,Hard,Quarterfinals,3,Giron M.,De Minaur A.,De Minaur A.,94,29,3-6 0-6
European Open,2020-10-23,ATP250,Indoor,Hard,Quarterfinals,3,Harris L.,Humbert U.,Humbert U.,90,38,3-6 6-7
bett1HULKS Championship,2020-10-23,ATP250,Indoor,Hard,Quarterfinals,3,Auger-Aliassime F.,Nishioka Y.,Auger-Aliassime F.,22,56,6-3 6-4
bett1HULKS Championship,2020-10-23,ATP250,Indoor,Hard,Quarterfinals,3,Mannarino A.,Zverev A.,Zverev A.,41,7,4-6 7-6 4-6
bett1HULKS Championship,2020-10-23,ATP250,Indoor,Hard,Quarterfinals,3,Schwartzman D.,Davidovich Fokina A.,Schwartzman D.,9,64,2-6 7-6 6-1
bett1HULKS Championship,2020-10-23,ATP250,Indoor,Hard,Quarterfinals,3,Simon G.,Sinner J.,Sinner J.,58,46,3-6 6-0 4-6
European Open,2020-10-24,ATP250,Indoor,Hard,Semifinals,3,Dimitrov G.,De Minaur A.,De Minaur A.,20,29,6-7 7-6 4-6
European Open,2020-10-24,ATP250,Indoor,Hard,Semifinals,3,Humbert U.,Evans D.,Humbert U.,38,35,4-6 7-6 6-4
bett1HULKS Championship,2020-10-24,ATP250,Indoor,Hard,Semifinals,3,Schwartzman D.,Auger-Aliassime F.,Schwartzman D.,9,22,6-4 5-7 6-4
bett1HULKS Championship,2020-10-24,ATP250,Indoor,Hard,Semifinals,3,Sinner J.,Zverev A.,Zverev A.,46,7,6-7 3-6
European Open,2020-10-25,ATP250,Indoor,Hard,The Final,3,Humbert U.,De Minaur A.,Humbert U.,38,29,6-1 7-6
bett1HULKS Championship,2020-10-25,ATP250,Indoor,Hard,The Final,3,Schwartzman D.,Zverev A.,Zverev A.,9,7,2-6 1-6
Astana Open,2020-10-26,ATP250,Indoor,Hard,1st Round,3,Albot R.,Popko D.,Albot R.,85,172,4-6 6-4 6-4
Astana Open,2020-10-26,ATP250,Indoor,Hard,1st Round,3,Duckworth J.,Verdasco F.,Verdasco F.,97,61,4-6 6-7
Astana Open,2020-10-26,ATP250,Indoor,Hard,1st Round,3,Moutet C.,Tiafoe F.,Tiafoe F.,74,64,3-6 2-6
Astana Open,2020-10-26,ATP250,Indoor,Hard,1st Round,3,Paul T.,Travaglia S.,Paul T.,59,73,7-6 6-3
Astana Open,2020-10-26,ATP250,Indoor,Hard,1st Round,3,Thompson J.,Norrie C.,Thompson J.,60,70,5-7 7-6 6-2
Erste Bank Open,2020-10-26,ATP500,Indoor,Hard,1st Round,3,Anderson K.,Novak D.,Anderson K.,111,92,6-7 6-4 7-6
Erste Bank Open,2020-10-26,ATP500,Indoor,Hard,1st Round,3,Fritz T.,Coric B.,Coric B.,29,24,4-6 4-6
Erste Bank Open,2020-10-26,ATP500,Indoor,Hard,1st Round,3,Gombos N.,Rublev A.,Rublev A.,104,8,3-6 2-6
Erste Bank Open,2020-10-26,ATP500,Indoor,Hard,1st Round,3,Rodionov J.,Shapovalov D.,Rodionov J.,153,12,6-4 7-5
Astana Open,2020-10-27,ATP250,Indoor,Hard,1st Round,3,Harris L.,Gerasimov E.,Gerasimov E.,80,83,3-6 6-3 6-7
Astana Open,2020-10-27,ATP250,Indoor,Hard,1st Round,3,Karatsev A.,Seppi A.,Seppi A.,113,103,3-6 6-1 3-6
Astana Open,2020-10-27,ATP250,Indoor,Hard,1st Round,3,Ruusuvuori E.,Skatov T.,Ruusuvuori E.,98,438,6-2 6-0
Astana Open,2020-10-27,ATP250,Indoor,Hard,1st Round,3,Sandgren T.,Vesely J.,Vesely J.,48,66,4-6 6-7
Astana Open,2020-10-27,ATP250,Indoor,Hard,1st Round,3,Sugita Y.,Dzumhur D.,Sugita Y.,101,115,6-1 5-7 6-4
Erste Bank Open,2020-10-27,ATP500,Indoor,Hard,1st Round,3,Garin C.,Wawrinka S.,Garin C.,22,19,6-4 6-7 6-3
Erste Bank Open,2020-10-27,ATP500,Indoor,Hard,1st Round,3,Hurkacz H.,Balazs A.,Hurkacz H.,31,88,6-3 7-5
Erste Bank Open,2020-10-27,ATP500,Indoor,Hard,1st Round,3,Khachanov K.,Dimitrov G.,Dimitrov G.,18,20,6-7 3-6
Erste Bank Open,2020-10-27,ATP500,Indoor,Hard,1st Round,3,Krajinovic F.,Djokovic N.,Djokovic N.,30,1,6-7 3-6
Erste Bank Open,2020-10-27,ATP500,Indoor,Hard,1st Round,3,Sachko V.,Thiem D.,Thiem D.,529,3,4-6 5-7
Erste Bank Open,2020-10-27,ATP500,Indoor,Hard,1st Round,3,Sonego L.,Lajovic D.,Sonego L.,42,26,6-4 6-3
Astana Open,2020-10-28,ATP250,Indoor,Hard,1st Round,3,Bublik A.,Mcdonald M.,Mcdonald M.,49,209,3-6 2-6
Astana Open,2020-10-28,ATP250,Indoor,Hard,1st Round,3,Kukushkin M.,Delbonis F.,Kukushkin M.,91,76,6-7 6-3 6-2
Astana Open,2020-10-28,ATP250,Indoor,Hard,2nd Round,3,Gerasimov E.,Vesely J.,Gerasimov E.,83,66,4-6 6-3 6-4
Astana Open,2020-10-28,ATP250,Indoor,Hard,2nd Round,3,Kecmanovic M.,Tiafoe F.,Tiafoe F.,40,64,5-7 3-6
Astana Open,2020-10-28,ATP250,Indoor,Hard,2nd Round,3,Paul T.,Albot R.,Paul T.,59,85,6-4 6-0
Astana Open,2020-10-28,ATP250,Indoor,Hard,2nd Round,3,Verdasco F.,Millman J.,Millman J.,61,45,3-6 4-6
Erste Bank Open,2020-10-28,ATP500,Indoor,Hard,1st Round,3,Jung J.,Medvedev D.,Medvedev D.,127,6,3-6 1-6
Erste Bank Open,2020-10-28,ATP500,Indoor,Hard,1st Round,3,Pospisil V.,Auger-Aliassime F.,Pospisil V.,81,21,7-5 7-5
Erste Bank Open,2020-10-28,ATP500,Indoor,Hard,1st Round,3,Sinner J.,Ruud C.,Sinner J.,43,27,7-6 6-3
Erste Bank Open,2020-10-28,ATP500,Indoor,Hard,1st Round,3,Struff J.L.,Tsitsipas S.,Tsitsipas S.,34,5,7-6 3-6 4-6
Erste Bank Open,2020-10-28,ATP500,Indoor,Hard,2nd Round,3,Anderson K.,Carreno Busta P.,Anderson K.,111,15,7-5 6-1
Erste Bank Open,2020-10-28,ATP500,Indoor,Hard,2nd Round,3,Coric B.,Djokovic N.,Djokovic N.,24,1,6-7 3-6
Astana Open,2020-10-29,ATP250,Indoor,Hard,2nd Round,3,Mcdonald M.,Seppi A.,Mcdonald M.,209,103,3-6 6-3 6-3
Astana Open,2020-10-29,ATP250,Indoor,Hard,2nd Round,3,Paire B.,Kukushkin M.,Kukushkin M.,28,91,7-6 6-7 1-6
Astana Open,2020-10-29,ATP250,Indoor,Hard,2nd Round,3,Ruusuvuori E.,Thompson J.,Ruusuvuori E.,98,60,6-2 3-6 6-4
Astana Open,2020-10-29,ATP250,Indoor,Hard,2nd Round,3,Sugita Y.,Mannarino A.,Mannarino A.,101,39,1-6 1-6
Erste Bank Open,2020-10-29,ATP500,Indoor,Hard,2nd Round,3,Pospisil V.,Medvedev D.,Medvedev D.,81,6,6-4 3-6 2-6
Erste Bank Open,2020-10-29,ATP500,Indoor,Hard,2nd Round,3,Rodionov J.,Evans D.,Evans D.,153,33,5-7 3-6
Erste Bank Open,2020-10-29,ATP500,Indoor,Hard,2nd Round,3,Sonego L.,Hurkacz H.,Sonego L.,42,31,7-6 7-6
Erste Bank Open,2020-10-29,ATP500,Indoor,Hard,2nd Round,3,Thiem D.,Garin C.,Thiem D.,3,22,6-3 6-2
Erste Bank Open,2020-10-29,ATP500,Indoor,Hard,2nd Round,3,Tsitsipas S.,Dimitrov G.,Dimitrov G.,5,20,7-6 4-6 3-6
Astana Open,2020-10-30,ATP250,Indoor,Hard,Quarterfinals,3,Kukushkin M.,Ruusuvuori E.,Ruusuvuori E.,91,98,3-6 1-6
Astana Open,2020-10-30,ATP250,Indoor,Hard,Quarterfinals,3,Mannarino A.,Mcdonald M.,Mannarino A.,39,209,6-1 6-4
Astana Open,2020-10-30,ATP250,Indoor,Hard,Quarterfinals,3,Paul T.,Millman J.,Millman J.,59,45,7-6 4-6 6-7
Astana Open,2020-10-30,ATP250,Indoor,Hard,Quarterfinals,3,Tiafoe F.,Gerasimov E.,Tiafoe F.,64,83,7-6 5-7 7-5
Erste Bank Open,2020-10-30,ATP500,Indoor,Hard,Quarterfinals,3,Anderson K.,Medvedev D.,Anderson K.,111,6,6-4 7-6
Erste Bank Open,2020-10-30,ATP500,Indoor,Hard,Quarterfinals,3,Dimitrov G.,Evans D.,Evans D.,20,33,6-7 6-4 3-6
Erste Bank Open,2020-10-30,ATP500,Indoor,Hard,Quarterfinals,3,Sonego L.,Djokovic N.,Sonego L.,42,1,6-2 6-1
Erste Bank Open,2020-10-30,ATP500,Indoor,Hard,Quarterfinals,3,Thiem D.,Rublev A.,Rublev A.,3,8,6-7 2-6
Astana Open,2020-10-31,ATP250,Indoor,Hard,Semifinals,3,Millman J.,Tiafoe F.,Millman J.,45,64,3-6 6-4 6-4
Astana Open,2020-10-31,ATP250,Indoor,Hard,Semifinals,3,Ruusuvuori E.,Mannarino A.,Mannarino A.,98,39,5-7 2-6
Erste Bank Open,2020-10-31,ATP500,Indoor,Hard,Semifinals,3,Sonego L.,Evans D.,Sonego L.,42,33,6-3 6-4
Astana Open,2020-11-01,ATP250,Indoor,Hard,The Final,3,Millman J.,Mannarino A.,Millman J.,45,39,7-5 6-1
Erste Bank Open,2020-11-01,ATP500,Indoor,Hard,The Final,3,Sonego L.,Rublev A.,Rublev A.,42,8,4-6 4-6
BNP Paribas Masters,2020-11-02,Masters 1000,Indoor,Hard,1st Round,3,Auger-Aliassime F.,Cilic M.,Cilic M.,21,43,0-6 6-3 3-6
BNP Paribas Masters,2020-11-02,Masters 1000,Indoor,Hard,1st Round,3,Basilashvili N.,Struff J.L.,Struff J.L.,39,35,4-6 2-6
BNP Paribas Masters,2020-11-02,Masters 1000,Indoor,Hard,1st Round,3,Bonzi B.,Coria F.,Bonzi B.,180,93,6-2 6-1
BNP Paribas Masters,2020-11-02,Masters 1000,Indoor,Hard,1st Round,3,Coric B.,Fucsovics M.,Coric B.,24,52,7-6 6-1
BNP Paribas Masters,2020-11-02,Masters 1000,Indoor,Hard,1st Round,3,Davidovich Fokina A.,Khachanov K.,Davidovich Fokina A.,63,19,6-3 2-6 6-2
BNP Paribas Masters,2020-11-02,Masters 1000,Indoor,Hard,1st Round,3,Delbonis F.,Thompson J.,Thompson J.,78,61,2-6 3-6
BNP Paribas Masters,2020-11-02,Masters 1000,Indoor,Hard,1st Round,3,Gaston H.,Carreno Busta P.,Carreno Busta P.,161,15,3-6 2-6
BNP Paribas Masters,2020-11-02,Masters 1000,Indoor,Hard,1st Round,3,Gombos N.,Cecchinato M.,Gombos N.,105,79,6-2 7-6
BNP Paribas Masters,2020-11-02,Masters 1000,Indoor,Hard,1st Round,3,Humbert U.,Ruud C.,Humbert U.,34,27,4-6 6-2 7-6
BNP Paribas Masters,2020-11-02,Masters 1000,Indoor,Hard,1st Round,3,Hurkacz H.,Albot R.,Albot R.,33,90,5-7 7-6 4-6
BNP Paribas Masters,2020-11-02,Masters 1000,Indoor,Hard,1st Round,3,Lopez F.,Krajinovic F.,Lopez F.,64,30,7-6 6-1
BNP Paribas Masters,2020-11-02,Masters 1000,Indoor,Hard,1st Round,3,Moutet C.,Caruso S.,Moutet C.,75,81,3-6 7-6 6-3
BNP Paribas Masters,2020-11-02,Masters 1000,Indoor,Hard,1st Round,3,Ramos-Vinolas A.,Giron M.,Giron M.,46,91,3-6 6-4 1-6
BNP Paribas Masters,2020-11-02,Masters 1000,Indoor,Hard,1st Round,3,Travaglia S.,De Minaur A.,De Minaur A.,74,25,4-6 4-6
BNP Paribas Masters,2020-11-03,Masters 1000,Indoor,Hard,1st Round,3,Bedene A.,Raonic M.,Raonic M.,53,17,3-6 2-6
BNP Paribas Masters,2020-11-03,Masters 1000,Indoor,Hard,1st Round,3,Bublik A.,Sonego L.,Sonego L.,49,32,1-6 4-6
BNP Paribas Masters,2020-11-03,Masters 1000,Indoor,Hard,1st Round,3,Fritz T.,Gasquet R.,Gasquet R.,29,56,0-6 6-3 3-6
BNP Paribas Masters,2020-11-03,Masters 1000,Indoor,Hard,1st Round,3,Herbert P.H.,Sandgren T.,Herbert P.H.,85,48,2-6 6-4 7-6
BNP Paribas Masters,2020-11-03,Masters 1000,Indoor,Hard,1st Round,3,Kecmanovic M.,Millman J.,Kecmanovic M.,42,38,6-4 6-2
BNP Paribas Masters,2020-11-03,Masters 1000,Indoor,Hard,1st Round,3,Lajovic D.,Mannarino A.,Mannarino A.,26,36,6-7 3-6
BNP Paribas Masters,2020-11-03,Masters 1000,Indoor,Hard,1st Round,3,Nishioka Y.,Andujar P.,Nishioka Y.,51,57,5-7 6-4 6-2
BNP Paribas Masters,2020-11-03,Masters 1000,Indoor,Hard,1st Round,3,Paul T.,Simon G.,Paul T.,55,59,3-6 6-3 6-3
BNP Paribas Masters,2020-11-03,Masters 1000,Indoor,Hard,1st Round,3,Wawrinka S.,Evans D.,Wawrinka S.,20,31,6-3 7-6
BNP Paribas Masters,2020-11-03,Masters 1000,Indoor,Hard,2nd Round,3,Carreno Busta P.,Struff J.L.,Carreno Busta P.,15,35,7-6 6-2
BNP Paribas Masters,2020-11-03,Masters 1000,Indoor,Hard,2nd Round,3,Giron M.,Berrettini M.,Giron M.,91,10,7-6 6-7 7-5
BNP Paribas Masters,2020-11-03,Masters 1000,Indoor,Hard,2nd Round,3,Goffin D.,Gombos N.,Gombos N.,14,105,4-6 6-7
BNP Paribas Masters,2020-11-03,Masters 1000,Indoor,Hard,2nd Round,3,Tsitsipas S.,Humbert U.,Humbert U.,6,34,6-7 7-6 6-7
BNP Paribas Masters,2020-11-04,Masters 1000,Indoor,Hard,2nd Round,3,Albot R.,Rublev A.,Rublev A.,90,8,1-6 2-6
BNP Paribas Masters,2020-11-04,Masters 1000,Indoor,Hard,2nd Round,3,Bonzi B.,Davidovich Fokina A.,Davidovich Fokina A.,180,63,4-6 4-6
BNP Paribas Masters,2020-11-04,Masters 1000,Indoor,Hard,2nd Round,3,Coric B.,Thompson J.,Thompson J.,24,61,6-2 4-6 2-6
BNP Paribas Masters,2020-11-04,Masters 1000,Indoor,Hard,2nd Round,3,Nadal R.,Lopez F.,Nadal R.,2,64,4-6 7-6 6-4
BNP Paribas Masters,2020-11-04,Masters 1000,Indoor,Hard,2nd Round,3,Nishioka Y.,Mannarino A.,Mannarino A.,51,36,3-6 7-6 3-6
BNP Paribas Masters,2020-11-04,Masters 1000,Indoor,Hard,2nd Round,3,Raonic M.,Herbert P.H.,Raonic M.,17,85,6-4 6-4
BNP Paribas Masters,2020-11-04,Masters 1000,Indoor,Hard,2nd Round,3,Schwartzman D.,Gasquet R.,Schwartzman D.,9,56,7-5 6-3
BNP Paribas Masters,2020-11-04,Masters 1000,Indoor,Hard,2nd Round,3,Sonego L.,De Minaur A.,De Minaur A.,32,25,3-6 5-7
BNP Paribas Masters,2020-11-04,Masters 1000,Indoor,Hard,2nd Round,3,Wawrinka S.,Paul T.,Wawrinka S.,20,55,4-6 7-6 6-2
BNP Paribas Masters,2020-11-04,Masters 1000,Indoor,Hard,2nd Round,3,Zverev A.,Kecmanovic M.,Zverev A.,7,42,6-2 6-2
BNP Paribas Masters,2020-11-05,Masters 1000,Indoor,Hard,3rd Round,3,Davidovich Fokina A.,Schwartzman D.,Schwartzman D.,63,9,1-6 1-6
BNP Paribas Masters,2020-11-05,Masters 1000,Indoor,Hard,3rd Round,3,Giron M.,Raonic M.,Raonic M.,91,17,6-7 2-6
BNP Paribas Masters,2020-11-05,Masters 1000,Indoor,Hard,3rd Round,3,Gombos N.,Carreno Busta P.,Carreno Busta P.,105,15,5-7 2-6
BNP Paribas Masters,2020-11-05,Masters 1000,Indoor,Hard,3rd Round,3,Humbert U.,Cilic M.,Humbert U.,34,43,6-3 6-7 6-3
BNP Paribas Masters,2020-11-05,Masters 1000,Indoor,Hard,3rd Round,3,Mannarino A.,Zverev A.,Zverev A.,36,7,6-7 7-6 4-6
